year, mo,    data-type, region, extent,   area
1979,  8,      Goddard,      S,  17.70,  13.79
1980,  8,      Goddard,      S,  17.81,  13.96
1981,  8,      Goddard,      S,  17.74,  14.16
1982,  8,      Goddard,      S,  17.79,  14.28
1983,  8,      Goddard,      S,  17.25,  13.84
1984,  8,      Goddard,      S,  17.93,  14.23
1985,  8,      Goddard,      S,  17.63,  14.24
1986,  8,      Goddard,      S,  17.00,  13.46
1987,  8,      Goddard,      S,  17.60,  14.02
1988,  8,      Goddard,      S,  17.56,  13.98
1989,  8,      Goddard,      S,  17.47,  14.03
1990,  8,      Goddard,      S,  17.57,  14.03
1991,  8,      Goddard,      S,  17.72,  14.05
1992,  8,      Goddard,      S,  17.73,  14.17
1993,  8,      Goddard,      S,  17.49,  13.93
1994,  8,      Goddard,      S,  17.84,  14.49
1995,  8,      Goddard,      S,  17.78,  14.20
1996,  8,      Goddard,      S,  17.74,  13.90
1997,  8,      Goddard,      S,  17.68,  14.09
1998,  8,      Goddard,      S,  17.88,  14.06
1999,  8,      Goddard,      S,  17.96,  14.24
2000,  8,      Goddard,      S,  18.21,  14.64
2001,  8,      Goddard,      S,  17.42,  13.75
2002,  8,      Goddard,      S,  17.07,  13.74
2003,  8,      Goddard,      S,  17.58,  13.77
2004,  8,      Goddard,      S,  18.01,  14.23
2005,  8,      Goddard,      S,  17.92,  13.95
2006,  8,      Goddard,      S,  18.10,  14.54
2007,  8,      Goddard,      S,  17.68,  14.03
2008,  8,      Goddard,      S,  17.64,  14.13
2009,  8,      Goddard,      S,  18.10,  14.45
2010,  8,      Goddard,      S,  18.61,  14.95
2011,  8,      Goddard,      S,  17.81,  14.04
2012,  8,      Goddard,      S,  18.10,  14.56
2013,  8,      Goddard,      S,  18.66,  15.13
2014,  8,      Goddard,      S,  18.91,  15.10
2015,  8,      Goddard,      S,  17.75,  14.02
2016,  8,      Goddard,      S,  17.89,  13.98
2017,  8,      Goddard,      S,  17.22,  13.62
2018,  8,      Goddard,      S,  17.42,  14.01
2019,  8,      Goddard,      S,  17.48,  13.99
2020,  8,      NRTSI-G,      S,  17.70,  14.41
