year, mo,    data-type, region, extent,   area
1978, 11,      Goddard,      S,  15.90,  11.69
1979, 11,      Goddard,      S,  15.34,  11.32
1980, 11,      Goddard,      S,  16.13,  11.84
1981, 11,      Goddard,      S,  16.11,  12.07
1982, 11,      Goddard,      S,  15.54,  11.27
1983, 11,      Goddard,      S,  16.01,  11.57
1984, 11,      Goddard,      S,  16.13,  12.06
1985, 11,      Goddard,      S,  16.14,  12.34
1986, 11,      Goddard,      S,  15.01,  10.87
1987, 11,      Goddard,      S,  15.58,  11.23
1988, 11,      Goddard,      S,  16.15,  12.29
1989, 11,      Goddard,      S,  15.73,  11.42
1990, 11,      Goddard,      S,  15.47,  11.35
1991, 11,      Goddard,      S,  15.58,  11.46
1992, 11,      Goddard,      S,  15.90,  11.20
1993, 11,      Goddard,      S,  16.04,  11.83
1994, 11,      Goddard,      S,  15.88,  11.78
1995, 11,      Goddard,      S,  15.63,  11.49
1996, 11,      Goddard,      S,  15.72,  11.24
1997, 11,      Goddard,      S,  15.73,  11.59
1998, 11,      Goddard,      S,  16.30,  11.88
1999, 11,      Goddard,      S,  15.96,  11.51
2000, 11,      Goddard,      S,  15.76,  11.81
2001, 11,      Goddard,      S,  15.61,  11.00
2002, 11,      Goddard,      S,  15.41,  11.67
2003, 11,      Goddard,      S,  16.11,  11.47
2004, 11,      Goddard,      S,  16.08,  11.75
2005, 11,      Goddard,      S,  16.32,  11.80
2006, 11,      Goddard,      S,  16.23,  11.61
2007, 11,      Goddard,      S,  15.89,  12.16
2008, 11,      Goddard,      S,  16.25,  12.01
2009, 11,      Goddard,      S,  15.85,  11.80
2010, 11,      Goddard,      S,  16.75,  11.92
2011, 11,      Goddard,      S,  15.76,  11.77
2012, 11,      Goddard,      S,  16.11,  12.07
2013, 11,      Goddard,      S,  16.87,  12.77
2014, 11,      Goddard,      S,  16.39,  12.26
2015, 11,      Goddard,      S,  16.18,  11.90
2016, 11,      Goddard,      S,  14.22,   9.84
2017, 11,      Goddard,      S,  15.11,  10.91
2018, 11,      Goddard,      S,  15.10,  10.75
2019, 11,      Goddard,      S,  14.99,  11.19
