year, mo,    data-type, region, extent,   area
1979,  3,      Goddard,      S,   4.00,   2.66
1980,  3,      Goddard,      S,   3.29,   2.11
1981,  3,      Goddard,      S,   3.39,   2.16
1982,  3,      Goddard,      S,   4.29,   2.84
1983,  3,      Goddard,      S,   4.02,   2.62
1984,  3,      Goddard,      S,   3.61,   2.34
1985,  3,      Goddard,      S,   3.72,   2.54
1986,  3,      Goddard,      S,   3.70,   2.38
1987,  3,      Goddard,      S,   4.11,   2.75
1988,  3,      Goddard,      S,   3.97,   2.59
1989,  3,      Goddard,      S,   3.93,   2.59
1990,  3,      Goddard,      S,   3.97,   2.79
1991,  3,      Goddard,      S,   3.81,   2.65
1992,  3,      Goddard,      S,   3.57,   2.47
1993,  3,      Goddard,      S,   3.67,   2.24
1994,  3,      Goddard,      S,   4.55,   3.20
1995,  3,      Goddard,      S,   4.63,   3.01
1996,  3,      Goddard,      S,   4.18,   2.65
1997,  3,      Goddard,      S,   3.46,   2.30
1998,  3,      Goddard,      S,   4.11,   2.71
1999,  3,      Goddard,      S,   3.98,   2.58
2000,  3,      Goddard,      S,   4.09,   2.67
2001,  3,      Goddard,      S,   4.73,   3.36
2002,  3,      Goddard,      S,   3.75,   2.36
2003,  3,      Goddard,      S,   4.44,   3.24
2004,  3,      Goddard,      S,   4.53,   3.16
2005,  3,      Goddard,      S,   4.08,   2.73
2006,  3,      Goddard,      S,   3.21,   2.01
2007,  3,      Goddard,      S,   3.83,   2.54
2008,  3,      Goddard,      S,   5.28,   3.68
2009,  3,      Goddard,      S,   4.44,   3.02
2010,  3,      Goddard,      S,   3.85,   2.66
2011,  3,      Goddard,      S,   3.37,   2.26
2012,  3,      Goddard,      S,   4.55,   2.91
2013,  3,      Goddard,      S,   5.02,   3.49
2014,  3,      Goddard,      S,   4.90,   3.32
2015,  3,      Goddard,      S,   4.96,   3.45
2016,  3,      Goddard,      S,   4.07,   2.77
2017,  3,      Goddard,      S,   2.70,   1.83
2018,  3,      Goddard,      S,   3.54,   2.31
2019,  3,      Goddard,      S,   3.17,   2.10
2020,  3,      NRTSI-G,      S,   3.98,   2.56
