year, mo,    data-type, region, extent,   area
1978, 12,      Goddard,      S,  10.40,   6.97
1979, 12,      Goddard,      S,   9.24,   6.24
1980, 12,      Goddard,      S,  10.16,   6.56
1981, 12,      Goddard,      S,  10.89,   7.02
1982, 12,      Goddard,      S,   9.22,   6.31
1983, 12,      Goddard,      S,  10.39,   6.71
1984, 12,      Goddard,      S,  10.47,   6.96
1985, 12,      Goddard,      S,  11.35,   7.46
1986, 12,      Goddard,      S,   9.65,   6.49
1987, 12,        -9999,      S,  -9999,  -9999
1988, 12,      Goddard,      S,  11.06,   7.40
1989, 12,      Goddard,      S,   9.84,   6.70
1990, 12,      Goddard,      S,   9.95,   6.73
1991, 12,      Goddard,      S,  10.19,   6.80
1992, 12,      Goddard,      S,  10.21,   6.18
1993, 12,      Goddard,      S,   9.93,   6.67
1994, 12,      Goddard,      S,  10.10,   7.11
1995, 12,      Goddard,      S,  10.62,   7.19
1996, 12,      Goddard,      S,   9.65,   6.24
1997, 12,      Goddard,      S,  10.29,   6.99
1998, 12,      Goddard,      S,  10.52,   6.80
1999, 12,      Goddard,      S,  10.72,   6.80
2000, 12,      Goddard,      S,   9.91,   6.95
2001, 12,      Goddard,      S,  10.35,   6.36
2002, 12,      Goddard,      S,  10.79,   7.61
2003, 12,      Goddard,      S,  10.56,   7.20
2004, 12,      Goddard,      S,  10.23,   6.93
2005, 12,      Goddard,      S,   9.68,   6.33
2006, 12,      Goddard,      S,   9.85,   6.48
2007, 12,      Goddard,      S,  11.98,   8.38
2008, 12,      Goddard,      S,  11.51,   7.39
2009, 12,      Goddard,      S,  10.74,   7.09
2010, 12,      Goddard,      S,  11.27,   6.94
2011, 12,      Goddard,      S,  11.20,   7.40
2012, 12,      Goddard,      S,  10.39,   7.38
2013, 12,      Goddard,      S,  11.85,   8.34
2014, 12,      Goddard,      S,  11.93,   8.21
2015, 12,      Goddard,      S,  10.66,   7.09
2016, 12,      Goddard,      S,   8.28,   5.51
2017, 12,      Goddard,      S,   9.48,   6.23
2018, 12,      Goddard,      S,   9.19,   5.59
2019, 12,      Goddard,      S,   9.41,   6.59
