year, mo,    data-type, region, extent,   area
1979,  2,      Goddard,      S,   3.14,   2.11
1980,  2,      Goddard,      S,   2.82,   1.85
1981,  2,      Goddard,      S,   2.87,   1.74
1982,  2,      Goddard,      S,   3.13,   1.86
1983,  2,      Goddard,      S,   3.07,   1.91
1984,  2,      Goddard,      S,   2.68,   1.75
1985,  2,      Goddard,      S,   2.84,   1.83
1986,  2,      Goddard,      S,   3.19,   2.00
1987,  2,      Goddard,      S,   3.25,   2.00
1988,  2,      Goddard,      S,   2.89,   1.90
1989,  2,      Goddard,      S,   2.98,   2.03
1990,  2,      Goddard,      S,   3.04,   2.21
1991,  2,      Goddard,      S,   3.16,   2.09
1992,  2,      Goddard,      S,   2.84,   1.86
1993,  2,      Goddard,      S,   2.48,   1.37
1994,  2,      Goddard,      S,   3.20,   2.22
1995,  2,      Goddard,      S,   3.56,   2.19
1996,  2,      Goddard,      S,   2.98,   1.77
1997,  2,      Goddard,      S,   2.49,   1.72
1998,  2,      Goddard,      S,   2.99,   1.87
1999,  2,      Goddard,      S,   2.97,   1.77
2000,  2,      Goddard,      S,   2.91,   1.72
2001,  2,      Goddard,      S,   3.65,   2.44
2002,  2,      Goddard,      S,   2.96,   1.82
2003,  2,      Goddard,      S,   3.79,   2.66
2004,  2,      Goddard,      S,   3.58,   2.36
2005,  2,      Goddard,      S,   2.97,   1.97
2006,  2,      Goddard,      S,   2.65,   1.76
2007,  2,      Goddard,      S,   2.90,   1.94
2008,  2,      Goddard,      S,   3.89,   2.40
2009,  2,      Goddard,      S,   2.99,   1.97
2010,  2,      Goddard,      S,   3.11,   2.11
2011,  2,      Goddard,      S,   2.52,   1.86
2012,  2,      Goddard,      S,   3.55,   2.19
2013,  2,      Goddard,      S,   3.84,   2.58
2014,  2,      Goddard,      S,   3.84,   2.65
2015,  2,      Goddard,      S,   3.80,   2.54
2016,  2,      Goddard,      S,   2.79,   1.86
2017,  2,      Goddard,      S,   2.29,   1.64
2018,  2,      Goddard,      S,   2.33,   1.63
2019,  2,      Goddard,      S,   2.65,   1.81
2020,  2,      NRTSI-G,      S,   2.87,   1.79
